"article_id","full_name","sex","birth_year","city","state","country","continent","latitude","longitude","occupation","industry","domain","article_languages","page_views","average_views","historical_popularity_index"
25452,"Richard Wagner","Male","1813","Leipzig","","Germany","Europe",51.33333,12.38333,"Composer","Music","Arts",116,17596072,151690,28.5694
7236,"Constantine I","Male","272","Niš","","Serbia","Europe",43.3,21.9,"Politician","Government","Institutions",96,8393354,87431,28.5648
51465,"Molière","Male","1622","Paris","","France","Europe",48.8567,2.3508,"Writer","Language","Humanities",106,17239276,162635,28.5634
19283178,"Benito Mussolini","Male","1883","Predappio","","Italy","Europe",44.1,11.98333,"Politician","Government","Institutions",105,30179131,287420,28.5507
13700,"Hesiod","Male","-800","Other","","Greece","Europe",NA,NA,"Writer","Language","Humanities",61,3804261,62365,28.5445
46289,"Xerxes I of Persia","Male","-519","Other","","Iran","Asia",32,53,"Politician","Government","Institutions",57,8762549,153729,28.5358
30536,"Tiberius","Male","-42","Rome","","Italy","Europe",41.9,12.5,"Politician","Government","Institutions",75,7080121,94402,28.5326
22614,"Oscar Wilde","Male","1854","Dublin","","Ireland","Europe",53.34778,-6.25972,"Writer","Language","Humanities",100,27541340,275413,28.5287
10868,"Francisco Goya","Male","1746","Fuendetodos","","Spain","Europe",41.34333,-0.85861,"Painter","Fine Arts","Arts",116,13608720,117317,28.5249
21463370,"Peter Paul Rubens","Male","1577","Siegen","","Germany","Europe",50.88333,8.01667,"Painter","Fine Arts","Arts",99,8171725,82543,28.5205
6548,"Claude Monet","Male","1840","Paris","","France","Europe",48.8567,2.3508,"Painter","Fine Arts","Arts",92,23208960,252271,28.5044
234264,"Diogenes of Sinope","Male","-412","Sinop","","Turkey","Asia",42.03333,35.15,"Philosopher","Philosophy","Humanities",62,5869970,94677,28.4978
8580,"Diocletian","Male","244","Solin","","Croatia","Europe",43.535,16.485,"Politician","Government","Institutions",70,5522343,78891,28.4917
46117,"Eratosthenes","Male","-276","Cyrene","","Libya","Africa",32.825,21.85806,"Geographer","Social Sciences","Science & Technology",70,5976911,85384,28.4856
10823,"Frédéric Chopin","Male","1810","Żelazowa Wola","","Poland","Europe",52.26667,20.33333,"Composer","Music","Arts",109,22680875,208081,28.4658
14187,"Henry VIII of England","Male","1491","Greenwhich","","United Kingdom","Europe",51.48222,-0.00667,"Nobleman","Government","Institutions",77,48601509,631188,28.4656
19527,"Mao Zedong","Male","1893","Shaoshan","","China","Asia",27.91,112.48,"Politician","Government","Institutions",122,29051982,238131,28.4606
45109,"Marie Antoinette","Female","1755","Vienna","","Austria","Europe",48.2,16.36667,"Nobleman","Government","Institutions",65,32610600,501702,28.4474
6125,"Carl Friedrich Gauss","Male","1777","Braunschweig","","Germany","Europe",52.26667,10.51667,"Mathematician","Math","Science & Technology",108,10019549,92774,28.4442
12958,"Giuseppe Verdi","Male","1813","Le Roncole","","Italy","Europe",44.9525,10.07222,"Composer","Music","Arts",107,11937617,111567,28.398
22416,"Otto von Bismarck","Male","1815","Schönhausen","","Germany","Europe",52.57861,12.03972,"Politician","Government","Institutions",108,15484912,143379,28.386
7018,"Caravaggio","Male","1571","Milan","","Italy","Europe",45.46667,9.18333,"Painter","Fine Arts","Arts",71,13560021,190986,28.3579
15192,"Isaac","Male","-3500","Canaan","","Israel","Asia",NA,NA,"Religious Figure","Religion","Institutions",62,4778973,77080,28.3556
16209,"Justinian I","Male","483","Tauresium","","Republic Of Macedonia","Europe",NA,NA,"Politician","Government","Institutions",72,5998344,83310,28.3512
19318,"Marilyn Monroe","Female","1926","Los Angeles","CA","United States","North America",34.05,-118.25,"Actor","Film And Theatre","Arts",143,63671491,445255,28.3466
12598,"Georg Wilhelm Friedrich Hegel","Male","1770","Stuttgart","","Germany","Europe",48.78333,9.18333,"Philosopher","Philosophy","Humanities",95,10627502,111868,28.3382
